customer_id,city,contract,monthly_charge,total_revenue,tenure_months,internet_type
5804-HYIEZ,Winterhaven,Month-to-Month,106.05,10373.65,70,Fiber Optic
2615-YVMYX,Chula Vista,Month-to-Month,107.5,10025.44,71,Fiber Optic
6067-NGCEU,Topanga,Month-to-Month,-3.0,9822.7,65,Fiber Optic
1469-LBJQJ,Victorville,Month-to-Month,105.2,9724.03,66,Fiber Optic
5055-MGMGF,Half Moon Bay,Month-to-Month,105.05,9621.1,65,Fiber Optic
2360-RDGRO,Sutter,Month-to-Month,104.25,9490.95,65,Fiber Optic
3086-RUCRN,Paicines,Month-to-Month,103.1,9442.24,66,Fiber Optic
6168-YBYNP,Newhall,Month-to-Month,111.35,9358.83,59,Fiber Optic
0130-SXOUN,Glenhaven,Month-to-Month,89.4,9200.36,66,Fiber Optic
0129-KPTWJ,North Highlands,Month-to-Month,94.65,9139.19,72,Fiber Optic
7821-DPRQE,Stockton,Month-to-Month,107.7,8953.58,68,Fiber Optic
5740-YHGTW,Los Angeles,Month-to-Month,97.55,8935.65,70,Fiber Optic
4176-FXYBO,Whittier,Month-to-Month,109.55,8813.55,54,Fiber Optic
5647-FXOTP,Santa Ysabel,Month-to-Month,105.9,8713.85,60,Fiber Optic
7537-CBQUZ,Castroville,Month-to-Month,109.4,8676.38,63,Fiber Optic
3144-KMTWZ,Whittier,Month-to-Month,93.25,8645.21,71,Fiber Optic
4833-QTJNO,Coulterville,Month-to-Month,83.85,8597.1,67,Fiber Optic
8535-SFUTN,Moreno Valley,Month-to-Month,106.45,8499.2,61,Fiber Optic
6847-KJLTS,Frazier Park,Month-to-Month,100.4,8495.52,58,Fiber Optic
4220-TINQT,Raisin City,Month-to-Month,106.35,8436.78,61,Fiber Optic
4194-WHFCB,Aromas,Month-to-Month,96.65,8416.93,59,Fiber Optic
2250-IVBWA,San Jose,Month-to-Month,81.05,8302.71,64,Fiber Optic
4191-XOVOM,Oakland,Month-to-Month,105.4,8275.19,63,Fiber Optic
1170-SASML,Desert Hot Springs,Month-to-Month,85.4,8249.21,69,Fiber Optic
1074-AMIOH,San Francisco,Month-to-Month,108.25,8234.77,53,Fiber Optic
1656-DRSMG,Chico,Month-to-Month,109.85,8200.58,63,Fiber Optic
0595-ITUDF,Fairfax,Month-to-Month,91.8,8173.62,64,Fiber Optic
2027-WKXMW,Montara,Month-to-Month,108.75,8155.01,63,Fiber Optic
1930-WNXSB,Covina,Month-to-Month,92.85,8071.07,58,Fiber Optic
1548-FEHVL,Weed,Month-to-Month,106.2,8062.46,61,Fiber Optic
8785-CJSHH,West Sacramento,Month-to-Month,99.8,8054.55,60,Fiber Optic
1215-FIGMP,Los Angeles,Month-to-Month,89.9,8023.5,60,Fiber Optic
2363-BJLSL,Bonita,Month-to-Month,80.4,8001.79,62,DSL
8016-NCFVO,Glendale,Month-to-Month,116.5,7994.05,55,Fiber Optic
6627-CFOSN,Madera,Month-to-Month,99.45,7979.48,59,Fiber Optic
7789-CRUVC,San Diego,Month-to-Month,94.2,7954.2,61,Fiber Optic
6353-BRMMA,Angwin,Month-to-Month,104.1,7932.7,54,Fiber Optic
0899-WZRSD,Marina Del Rey,Month-to-Month,105.35,7921.89,56,Fiber Optic
6710-HSJRD,Newport Coast,Month-to-Month,114.1,7883.67,61,Fiber Optic
2386-OWURY,Yucaipa,Month-to-Month,95.3,7879.6,58,Fiber Optic
4001-TSBTV,Sacramento,Month-to-Month,91.55,7874.57,58,Fiber Optic
4989-LIXVT,Santa Monica,Month-to-Month,95.9,7840.76,68,Fiber Optic
5921-NGYRH,Stonyford,Month-to-Month,73.55,7840.34,64,Fiber Optic
7426-GSWPO,Portola,Month-to-Month,103.5,7777.45,64,Fiber Optic
4188-FRABG,Sunland,Month-to-Month,103.05,7737.78,57,Fiber Optic
9943-VSZUV,Alamo,Month-to-Month,75.7,7733.48,67,Fiber Optic
1035-IPQPU,Parker Dam,Month-to-Month,103.5,7622.22,63,Fiber Optic
3170-GWYKC,Vernalis,Month-to-Month,104.95,7609.55,60,Fiber Optic
9974-JFBHQ,Del Rey,Month-to-Month,99.15,7605.44,64,Fiber Optic
7233-DRTRF,Fresno,Month-to-Month,102.4,7562.3,63,Fiber Optic
5339-TJFEK,Santa Rosa,Month-to-Month,105.5,7551.7,62,Fiber Optic
3005-TYFRD,Tollhouse,Month-to-Month,103.65,7527.95,55,Fiber Optic
2067-QYTCF,Los Angeles,Month-to-Month,111.15,7503.8,64,Fiber Optic
8384-FZBJK,San Mateo,Month-to-Month,100.6,7456.79,57,Fiber Optic
4983-CLMLV,Escondido,Month-to-Month,102.7,7443.78,52,Fiber Optic
3384-CTMSF,Lincoln,Month-to-Month,104.1,7423.58,47,Fiber Optic
5331-RGMTT,Point Arena,Month-to-Month,99.05,7413.62,54,Fiber Optic
